"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"87","Kapri Bibbs (FA)","3","21","79","3.8","42","2.0","37","1.8","0","1","-1","0","2","0","0","0","0","16","14","17","0","32"
"88","Terrance West (FA)","5","39","138","3.5","46","1.2","92","2.4","3","6","-15","4","5","0","0","0","0","13","2","4","0","5"
"89","Danny Woodhead (FA)","8","14","56","4.0","33","2.4","23","1.6","0","0","0","0","1","0","0","0","0","10","33","39","2","20"
"90","Thomas Rawls (FA)","12","58","157","2.7","76","1.3","81","1.4","2","9","-22","0","3","1","0","0","0","23","9","13","0","14"
"91","Tommy Bohanon (FA)","16","5","5","1.0","5","1.0","0","0.0","0","0","0","1","0","0","0","0","0","3","6","11","1","12"
"92","Eddie Lacy (FA)","9","69","179","2.6","82","1.2","97","1.4","1","10","-26","0","4","0","0","0","0","19","6","6","0","11"
"93","Travaris Cadet (FA)","9","23","96","4.2","53","2.3","43","1.9","0","1","-3","0","3","0","0","0","0","12","16","19","0","36"
"94","Kenjon Barner (FA)","13","16","57","3.6","33","2.1","24","1.5","1","3","-14","4","2","0","0","0","0","18","5","8","0","5"
"95","Robert Turbin (FA)","6","23","53","2.3","13","0.6","40","1.7","0","4","-9","1","0","0","0","0","0","7","9","11","0","34"
"96","Stevan Ridley (FA)","2","26","108","4.2","63","2.4","45","1.7","1","3","-7","4","4","1","0","0","0","21","0","0","0","0"
"97","Chris Johnson (FA)","4","45","114","2.5","43","1.0","71","1.6","2","8","-15","0","1","0","0","0","0","11","5","6","0","4"
"98","Cameron Artis-Payne (FA)","13","18","95","5.3","37","2.1","58","3.2","1","1","-6","12","4","1","1","1","0","43","1","1","0","1"
"99","D.J. Foster (FA)","7","6","19","3.2","4","0.7","15","2.5","0","0","0","0","0","0","0","0","0","5","17","28","2","40"
"100","Anthony Sherman (FA)","16","14","40","2.9","32","2.3","8","0.6","0","2","-2","1","0","0","0","0","0","9","6","8","0","8"
"101","James Conner (ARI)","14","32","144","4.5","84","2.6","60","1.9","0","4","-8","0","6","1","0","0","0","23","0","1","0","0"
"102","C.J. Ham (MIN)","16","7","13","1.9","5","0.7","8","1.1","0","0","0","1","0","0","0","0","0","3","7","8","0","24"
"103","Jamize Olawale (FA)","12","9","43","4.8","12","1.3","31","3.4","1","0","0","1","2","0","0","0","0","11","6","7","0","8"
"104","Paul Perkins (FA)","11","41","90","2.2","46","1.1","44","1.1","1","6","-13","0","1","0","0","0","0","14","8","10","0","7"
"105","Jeremy Hill (FA)","7","37","116","3.1","49","1.3","67","1.8","1","4","-8","0","3","0","0","0","0","13","4","4","0","9"
"106","Roosevelt Nix (FA)","16","3","0","0.0","0","0.0","0","0.0","0","1","-1","1","0","0","0","0","0","1","2","3","1","2"
"107","Fozzy Whittaker (FA)","12","7","18","2.6","3","0.4","15","2.1","1","1","-3","0","0","0","0","0","0","8","5","6","0","4"
"108","Terron Ward (FA)","14","30","129","4.3","66","2.2","63","2.1","4","6","-8","0","4","0","0","0","0","17","3","3","0","3"
"109","Darren Sproles (FA)","3","15","61","4.1","27","1.8","34","2.3","0","2","-4","0","3","0","0","0","0","12","7","12","0","9"
"110","Lance Dunbar (FA)","4","11","51","4.6","39","3.5","12","1.1","0","2","-3","8","2","0","0","0","0","12","1","3","0","0"
"111","C.J. Prosise (FA)","5","11","23","2.1","1","0.1","22","2.0","1","2","-2","0","0","0","0","0","0","8","6","11","0","32"
"112","Branden Oliver (FA)","8","35","83","2.4","28","0.8","55","1.6","2","7","-20","0","2","1","0","0","0","26","6","11","1","10"
"113","De'Angelo Henderson Sr. (FA)","5","7","13","1.9","11","1.6","2","0.3","0","1","-3","0","0","0","0","0","0","5","2","2","0","30"
"114","Trey Edmunds (FA)","16","9","48","5.3","36","4.0","12","1.3","0","3","-5","41","1","1","1","1","0","41","0","0","0","0"
"115","Andy Janovich (FA)","16","6","12","2.0","5","0.8","7","1.2","0","1","-1","1","0","0","0","0","0","4","4","6","0","5"
"116","Zach Line (FA)","12","7","28","4.0","10","1.4","18","2.6","0","0","0","0","0","0","0","0","0","9","2","5","2","1"
"117","Zach Zenner (FA)","8","14","26","1.9","4","0.3","22","1.6","4","3","-8","1","1","0","0","0","0","14","0","1","0","0"
"118","Brandon Bolden (LV)","16","13","67","5.2","26","2.0","41","3.2","3","1","-1","0","2","1","0","0","0","20","1","4","0","4"
"119","Brian Hill (FA)","7","11","37","3.4","16","1.5","21","1.9","1","1","-2","0","1","0","0","0","0","11","2","2","0","25"
"120","David Johnson (FA)","1","11","23","2.1","2","0.2","21","1.9","1","1","-2","0","0","0","0","0","0","6","6","9","1","23"
"121","Byron Marshall (FA)","4","9","32","3.6","15","1.7","17","1.9","0","1","-3","0","1","0","0","0","0","11","6","8","0","26"
"122","Jalston Fowler (FA)","10","2","4","2.0","0","0.0","0","0.0","0","0","0","3","0","0","0","0","0","3","0","1","0","0"
"123","Derek Watt (FA)","16","6","24","4.0","13","2.2","11","1.8","0","0","0","0","1","0","0","0","0","17","2","3","0","15"
"124","Dwayne Washington (DEN)","5","20","44","2.2","12","0.6","32","1.6","0","2","-8","0","0","0","0","0","0","6","2","2","0","5"
"125","Akeem Hunt (FA)","15","8","23","2.9","7","0.9","16","2.0","1","1","-10","0","1","0","0","0","0","11","4","7","0","7"
"126","Aaron Ripkowski (FA)","16","5","13","2.6","9","1.8","4","0.8","0","0","0","0","0","0","0","0","0","4","7","10","0","1"
"127","Tyler Ervin (FA)","4","4","12","3.0","10","2.5","2","0.5","0","1","-2","0","0","0","0","0","0","6","8","11","1","3"
"128","Marcus Murphy (FA)","1","7","41","5.9","28","4.0","13","1.9","0","1","-4","0","1","1","0","0","0","25","2","2","0","0"
"129","Matt Dayes (FA)","16","5","13","2.6","-2","-0.4","15","3.0","1","0","0","0","0","0","0","0","0","4","4","5","0","1"
"130","Mack Brown (FA)","4","8","29","3.6","11","1.4","18","2.3","0","2","-2","0","1","0","0","0","0","11","1","1","0","2"
"131","Fitzgerald Toussaint (FA)","6","6","25","4.2","14","2.3","11","1.8","0","0","0","0","0","0","0","0","0","7","2","3","0","6"
"132","Senorise Perry (FA)","16","8","30","3.8","13","1.6","17","2.1","0","2","-3","0","1","0","0","0","0","12","1","1","0","0"
"133","Derrick Coleman (FA)","16","2","8","4.0","1","0.5","7","3.5","0","0","0","0","0","0","0","0","0","5","2","7","1","6"
"134","Patrick DiMarco (FA)","16","2","-2","-1.0","-2","-1.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","7","10","2","4"
"135","Andre Williams (FA)","8","9","25","2.8","12","1.3","13","1.4","1","1","-2","0","0","0","0","0","0","7","0","0","0","0"
"136","David Fluellen (FA)","16","4","21","5.3","17","4.3","4","1.0","0","0","0","0","1","0","0","0","0","10","0","1","0","0"
"137","Josh Ferguson (FA)","10","1","5","5.0","4","4.0","1","1.0","0","0","0","0","0","0","0","0","0","5","3","4","0","6"
"138","Bobby Rainey (FA)","4","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","5","7","1","4"
"139","Michael Burton (DEN)","16","4","9","2.3","0","0.0","9","2.3","1","0","0","0","0","0","0","0","0","7","2","4","0","2"
"140","Matt Jones (FA)","5","5","14","2.8","6","1.2","8","1.6","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"141","LeShun Daniels (FA)","4","3","14","4.7","7","2.3","7","2.3","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"142","Raheem Mostert (MIA)","11","6","30","5.0","26","4.3","4","0.7","0","0","0","0","1","0","0","0","0","16","0","0","0","0"
"143","Terrell Watson (FA)","10","5","8","1.6","3","0.6","5","1.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"144","John Kuhn (FA)","2","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"145","Justin Davis (FA)","4","1","1","1.0","-1","-1.0","2","2.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"146","C.J. Spiller (FA)","1","2","0","0.0","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","1","0","2","0","0"
"147","Darren McFadden (FA)","1","1","-2","-2.0","-3","-3.0","1","1.0","0","1","-2","0","0","0","0","0","0","0","0","0","0","0"
"148","Bronson Hill (FA)","2","1","-2","-2.0","-3","-3.0","1","1.0","0","1","-2","0","0","0","0","0","0","0","0","0","0","0"
"149","Devante Mays (FA)","8","4","1","0.3","-4","-1.0","5","1.3","0","1","-4","0","0","0","0","0","0","2","3","3","0","3"
""
""
