"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"157","Isaiah McKenzie","WR","IND","0","1.7","1.3","1.6","0.4","4.3","0.7","0","1.2","7.1","BYE","0.3","0","-2","-","-","-","","1.3","16.6"
"158","Richie James Jr.","WR","KC","1.6","-2","-","-","-","-","-","-","-","BYE","-","0","2.2","1.4","2.7","8.4","1.6","","2","15.9"
"159","Samori Toure","WR","GB","3.8","1.6","2","4.5","0","BYE","1.3","0","-","-","-","0","-","4.2","-","0","-1.6","","1.4","15.8"
"160","Randall Cobb","WR","NYJ","0","0","2.2","2.8","0","2","BYE","-","-","-","-","0","-","8.5","0","-","0","","1.6","15.5"
"161","Sterling Shepard","WR","NYG","0","1.4","-","1.6","2.3","0","-0.7","-","0","7.2","1.5","1.6","BYE","-","0","0","0","","1.1","14.9"
"162","Keith Kirkwood","WR","NO","0","0","0","-","1.1","0","0","-","-","-","BYE","4","0","0","7.7","1.9","0","","1.2","14.7"
"163","D.J. Montgomery","WR","IND","-","-","-","-","-","-","-","-","-","-","BYE","0","0","0","12.8","1.8","0","","2.4","14.6"
"164","Trent Sherfield","WR","BUF","-","-","3.8","3.8","1.3","0","1.5","0","1.9","0","0","0","BYE","1.9","0","0","0","","1","14.2"
"165","Marquise Goodwin","WR","CLE","0","0","0.1","1","BYE","3.4","3.3","-0.5","0","-","-","-","-","0","6.7","0","0","","1.2","14"
"166","Lawrence Cager","WR","NYG","3.7","-","-","-","-","0","-","-","0","8","0","0","BYE","0","1.9","-","-","","1.7","13.6"
"167","Mecole Hardman Jr.","WR","KC","-","1.6","-","-","-","0","1.6","1.6","4","BYE","3.2","-","-","-","-","-","0","","1.7","12"
"168","Quez Watkins","WR","PHI","3.7","-","-","-","2.4","-","-","-","-","BYE","-","0","5.8","0","0","0","-","","1.7","11.9"
"169","Charlie Jones","WR","CIN","0","6","1.6","-","-","-","BYE","-","-","-","0","0","0","0","3","0.9","0","","1.2","11.5"
"170","Jalen Brooks","WR","DAL","-","-","-","-","-","0","BYE","-","-","7.9","0","3.4","-","-","-","-","0","","2.3","11.3"
"171","Velus Jones Jr.","WR","CHI","-","-0.3","0","1","0","3","1","1.4","0","-","-","0","BYE","2.1","2.3","0.4","0.2","","0.9","11.1"
"172","Rakim Jarrett","WR","TB","0","1.7","-","1.3","BYE","0","0","1.9","0","0","5.1","-","-","-","-","-","-","","1.1","10"
"173","Equanimeous St. Brown","WR","CHI","-","-","-","3.1","0","-","-","-","-","1.4","3.9","0","BYE","-","-","-","0","","1.4","8.4"
"174","DeAndre Carter","WR","LV","1.5","0","2.6","0","0.3","0","0","0","2.5","1.5","0","0","BYE","0","0","0","0","","0.5","8.4"
"175","Simi Fehoko","WR","LAC","-","-","-","0","BYE","-","-","7.9","0","0","0","-","-","-","-","-","-","","1.6","7.9"
"176","Justyn Ross","WR","KC","1.6","-","0","-","4.8","0","0","-","-","BYE","-","-","-","-","-","1.2","0","","1.1","7.6"
"177","Keelan Doss","WR","LAC","-","-","-","-","BYE","0","0","-","-","-","-","-","-","-","-","-","7.5","","2.5","7.5"
"178","Devin Duvernay","WR","BAL","0","1.5","0","2.8","0","0","0","0","3","0","0","0","BYE","0","-","-","-","","0.6","7.3"
"179","Elijah Cooks","WR","JAC","-","-","-","-","-","0","0","0","BYE","0","-","-","-","0","0","6.8","0","","0.9","6.8"
"180","Marvin Jones Jr.","WR","FA","0.8","0","-","0","4.2","1.5","-","-","-","-","-","-","-","-","-","-","-","","1.3","6.5"
"181","Tylan Wallace","WR","BAL","-","-","-","-","-","-","-","-","0","-","0","0","BYE","6","0","0","0","","0.9","6"
"182","Jalen Nailor","WR","MIN","0","-","-","-","-","-","-","-","-","2.6","0","0","BYE","3.3","-","-","-","","1.2","5.9"
"182","Zach Pascal","WR","ARI","0","1.9","0","4","0","0","-","0","0","0","-","0","-","BYE","0","0","0","","0.5","5.9"
"184","Steven Sims Jr.","WR","HOU","-","-","-","-","-","-","BYE","-","-","-","4.5","0","-","-","1.1","-","-","","1.9","5.6"
